"","StateAbbr","age","votereg","askvote","vote_method","party_ID"
"737","OH",49,1,NA,NA,2
"738","OH",72,1,5,3,3
"739","OH",64,1,NA,NA,3
"740","OH",78,1,5,3,3
"741","OH",61,1,5,1,2
"742","OH",74,1,5,1,3
"743","OH",68,1,NA,NA,3
"744","OH",38,1,5,1,3
"745","OH",53,1,5,1,3
"746","OH",67,1,5,2,2
"747","OH",73,1,5,1,3
"748","OH",80,1,5,3,3
"749","OH",70,1,5,3,3
"750","OH",77,1,5,3,1
"751","OH",57,1,NA,NA,2
"752","OH",52,1,5,3,2
"753","OH",92,1,5,2,3
"754","OH",65,1,5,3,1
"755","OH",33,1,5,1,3
"756","OH",76,1,5,3,3
"757","OH",38,1,NA,NA,2
"758","OH",41,1,5,1,2
"759","OH",63,1,5,1,2
"760","OH",52,1,5,1,3
"761","OH",67,1,5,1,3
"762","OH",70,1,5,3,2
"763","OH",57,1,NA,NA,3
"764","OH",75,1,5,3,2
"765","OH",65,1,5,3,2
"766","OH",53,1,5,1,1
"767","OH",41,1,5,1,1
"768","OH",33,1,5,1,1
"769","OH",63,1,5,3,2
"770","OH",49,1,5,1,2
"771","OH",28,1,5,1,2
"772","OH",73,1,5,1,3
"773","OH",30,1,5,1,3
"774","OH",52,1,5,1,2
"775","OH",42,1,NA,NA,3
"776","OH",32,1,5,1,2
"777","OH",65,1,NA,NA,1
"778","OH",47,1,5,1,2
"779","OH",27,1,NA,NA,1
"780","OH",25,1,5,3,1
"781","OH",80,1,NA,NA,2
"782","OH",67,1,5,2,1
"783","OH",49,1,5,2,2
"784","OH",62,1,5,3,1
"785","OH",32,1,5,1,1
"786","OH",53,1,5,1,1
"787","OH",53,1,5,3,2
"788","OH",48,1,NA,NA,2
"789","OH",30,1,5,1,2
"790","OH",68,1,NA,NA,2
"791","OH",47,1,5,1,2
"792","OH",67,1,5,1,2
"793","OH",23,1,5,2,3
"794","OH",61,1,3,NA,3
"795","OH",38,1,NA,NA,2
"796","OH",69,1,5,1,3
"797","OH",81,1,NA,NA,2
"798","OH",23,1,5,3,3
"799","OH",49,1,5,3,1
"800","OH",71,1,5,2,2
"801","OH",68,1,5,1,2
"802","OH",44,1,5,1,1
"803","OH",68,1,NA,NA,3
"804","OH",73,1,5,3,3
"805","OH",58,1,NA,NA,1
"806","OH",42,1,5,1,2
"807","OH",39,1,5,2,2
"808","OH",52,2,NA,NA,NA
"809","OH",28,1,5,1,2
"810","OH",48,1,NA,NA,3
"811","OH",49,1,NA,NA,2
"812","OH",30,1,5,3,2
"813","OH",67,1,NA,NA,2
"814","OH",30,1,5,3,2
"815","OH",29,1,NA,NA,1
"816","OH",80,1,5,3,1
"817","OH",53,1,NA,NA,2
"818","OH",27,2,NA,NA,NA
"819","OH",57,1,NA,NA,2
"820","OH",62,1,5,1,2
"821","OH",26,1,5,1,1
"822","OH",38,1,NA,NA,2
"823","OH",27,1,5,1,3
"824","OH",44,1,5,1,2
"825","OH",71,1,5,1,1
"826","OH",73,1,NA,NA,3
"827","OH",41,1,5,1,3
"828","OH",76,1,5,3,2
"829","OH",68,1,5,1,1
"830","OH",72,1,NA,NA,2
"831","OH",34,1,2,NA,1
"832","OH",70,1,5,3,3
"833","OH",63,1,5,1,3
"834","OH",69,1,1,NA,2
"835","OH",79,1,5,1,NA
"836","OH",75,2,NA,NA,NA
"837","OH",60,1,NA,NA,1
"838","OH",33,1,5,2,1
"839","OH",82,1,5,2,3
"840","OH",61,1,5,1,2
"841","OH",69,1,5,1,3
"842","OH",67,1,5,1,2
"843","OH",40,1,NA,NA,1
"844","OH",71,1,5,1,2
"845","OH",65,1,5,1,2
"846","OH",89,1,NA,NA,3
"847","OH",71,1,5,3,1
"848","OH",49,1,5,1,2
"849","OH",73,1,5,3,2
"850","OH",79,1,5,1,3
