"","inputstate","votereg","age","party_ID","askvote","vote_method"
"407",39,1,58,2,5,1
"408",39,1,55,1,5,1
"409",39,1,51,2,5,1
"410",39,1,57,2,5,3
"411",39,1,56,1,5,3
"412",39,1,55,2,5,1
"413",39,1,27,1,5,3
"414",39,1,56,1,5,1
"415",39,1,67,1,5,2
"416",39,1,61,2,5,1
"417",39,1,30,1,5,2
"418",39,1,41,3,5,1
"419",39,1,51,1,5,2
"420",39,1,26,4,5,1
"421",39,2,59,3,NA,NA
"422",39,1,74,1,5,1
"423",39,1,53,2,5,3
"424",39,2,64,3,NA,NA
"425",39,1,38,1,5,2
"426",39,1,55,2,5,1
"427",39,1,61,2,5,1
"428",39,1,63,1,5,1
"429",39,1,57,1,5,3
"430",39,1,61,3,5,3
"431",39,1,61,3,5,1
"432",39,1,42,3,5,3
"433",39,1,49,2,5,1
"434",39,1,35,1,5,1
"435",39,2,39,3,NA,NA
"436",39,1,29,1,5,2
"437",39,2,45,1,NA,NA
"438",39,1,42,1,5,1
"439",39,1,25,NA,NA,NA
"440",39,1,57,1,5,3
"441",39,1,62,3,5,3
"442",39,1,37,NA,NA,NA
"443",39,1,29,3,5,1
"444",39,1,63,2,5,1
"445",39,1,51,3,5,2
"446",39,1,59,3,5,1
"447",39,1,58,1,5,2
"448",39,1,45,2,5,1
"449",39,2,70,2,1,NA
"450",39,1,54,4,5,1
"451",39,1,42,3,5,1
"452",39,2,37,NA,NA,NA
"453",39,2,35,2,NA,NA
"454",39,1,60,3,5,3
"455",39,1,64,2,5,3
"456",39,1,35,3,5,1
"457",39,1,50,3,5,1
"458",39,1,79,2,5,3
"459",39,1,55,1,1,NA
"460",39,1,45,3,5,1
"461",39,1,36,NA,NA,NA
"462",39,2,59,1,NA,NA
"463",39,1,40,2,5,1
"464",39,1,53,3,5,1
"465",39,1,58,3,5,3
"466",39,1,63,3,5,3
"467",39,1,51,3,5,2
"468",39,1,60,2,5,1
"469",39,1,29,NA,NA,NA
"470",39,1,59,3,5,1
"471",39,1,49,1,5,1
"472",39,1,61,1,5,3
"473",39,1,60,2,5,1
"474",39,2,66,3,NA,NA
"475",39,1,49,1,5,1
"476",39,1,48,1,5,1
"477",39,1,27,1,5,2
"478",39,1,27,NA,NA,NA
"479",39,1,33,2,5,3
"480",39,1,68,2,5,1
"481",39,1,65,1,5,2
"482",39,1,65,1,5,1
"483",39,1,64,2,5,1
"484",39,1,62,1,1,NA
"485",39,2,36,1,NA,NA
"486",39,1,61,2,5,3
"487",39,1,27,1,5,1
"488",39,1,25,1,5,1
"489",39,1,56,2,5,3
"490",39,1,82,3,5,3
"491",39,1,78,1,5,3
"492",39,1,51,1,5,1
"493",39,3,27,3,NA,NA
"494",39,1,60,2,5,1
"495",39,1,58,2,5,2
"496",39,1,53,2,5,3
"497",39,1,47,2,1,NA
"498",39,1,64,2,5,1
"499",39,1,54,1,5,1
"500",39,1,71,3,5,3
"501",39,1,76,2,5,1
"502",39,1,65,2,5,1
"503",39,1,57,3,5,1
"504",39,1,66,3,5,1
"505",39,1,74,2,5,3
"506",39,1,47,2,5,2
"507",39,1,70,1,5,1
"508",39,1,57,2,5,3
"509",39,1,64,1,5,1
"510",39,1,24,3,5,3
"511",39,1,59,4,5,1
"512",39,1,66,1,5,1
"513",39,1,64,1,5,2
"514",39,1,76,3,5,1
"515",39,1,82,2,5,3
"516",39,1,59,3,5,1
"517",39,1,27,3,5,3
"518",39,1,76,2,5,3
"519",39,1,35,NA,NA,NA
"520",39,1,63,1,5,3
"521",39,1,46,2,5,1
"522",39,1,68,1,5,2
"523",39,1,56,2,5,2
"524",39,1,43,3,5,1
"525",39,1,27,4,5,1
"526",39,1,63,3,5,1
"527",39,1,65,1,5,1
"528",39,1,35,1,5,2
"529",39,1,56,2,NA,NA
"530",39,1,64,2,5,1
"531",39,1,79,2,5,2
"532",39,1,60,1,5,3
"533",39,1,48,1,5,2
"534",39,1,48,NA,NA,NA
"535",39,1,54,3,5,3
"536",39,1,59,4,5,1
"537",39,1,54,1,5,1
"538",39,1,59,1,5,1
"539",39,1,63,2,5,1
"540",39,1,87,2,5,1
"541",39,1,33,2,5,3
"542",39,1,55,1,5,1
"543",39,1,64,3,5,1
"544",39,1,66,1,5,1
"545",39,1,22,1,5,2
"546",39,1,54,4,5,1
"547",39,1,63,2,5,1
"548",39,1,37,3,5,1
"549",39,1,63,2,5,2
"550",39,1,36,NA,NA,NA
"551",39,1,70,1,5,1
"552",39,1,52,3,5,1
"553",39,2,29,NA,NA,NA
"554",39,1,68,2,5,1
"555",39,1,77,3,5,1
"556",39,1,70,2,5,3
"557",39,1,25,1,5,1
"558",39,1,52,1,5,3
"559",39,1,54,1,5,2
"560",39,1,32,3,4,4
"561",39,1,50,4,5,1
"562",39,1,65,3,5,1
"563",39,1,54,1,5,2
"564",39,1,66,1,5,3
"565",39,1,52,1,5,1
"566",39,1,57,2,5,1
"567",39,1,54,1,5,3
"568",39,1,35,1,5,2
